"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"入職率","C鉱業、採石業、砂利採取業","５人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","５人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","D建設業","５人以上","2005.0","1.42","1.69","0.59","0.32","0.48","2.09","1.75","1.5","2.56","1.79","0.08","2.83","1.33"
"入職率","D建設業","５人以上","2006.0","1.93","3.14","2.52","1.11","0.77","0.43","2.2","0.17","4.15","2.06","3.39","2.44","0.8"
"入職率","D建設業","５人以上","2007.0","1.38","0.99","1.09","1.4","1.79","3.79","1.18","1.23","0.53","1.49","1.37","0.92","0.83"
"入職率","D建設業","５人以上","2008.0","1.05","0.28","0.7","0.44","1.39","1.16","0.82","2.87","0.82","0.81","1.94","0.34","1.08"
"入職率","D建設業","５人以上","2009.0","1.0","0.2","2.93","1.36","0.57","1.1","1.22","0.73","0.05","0.14","2.59","0.95","0.18"
"入職率","D建設業","５人以上","2010.0","1.05","0.6","0.7","1.87","1.16","1.29","0.66","0.79","1.54","0.83","1.65","0.92","0.58"
"入職率","D建設業","５人以上","2011.0","1.05","1.26","1.05","0.36","2.65","0.67","0.53","0.52","2.0","1.02","1.02","0.65","0.88"
"入職率","D建設業","５人以上","2012.0","1.11","0.51","0.55","0.42","1.57","2.26","1.39","0.43","1.25","1.1","1.66","0.88","1.34"
"入職率","D建設業","５人以上","2013.0","1.19","1.18","1.52","0.64","2.74","0.99","0.67","0.52","0.81","0.41","1.49","2.89","0.4"
"入職率","D建設業","５人以上","2014.0","1.24","1.4","1.65","1.06","2.67","1.48","1.12","1.09","1.13","0.54","1.6","0.0","1.12"
"入職率","D建設業","５人以上","2015.0","1.33","0.47","0.41","2.09","4.72","0.54","0.93","1.4","1.39","1.19","1.05","0.84","0.97"
"入職率（前年差）","D建設業","５人以上","2006.0","0.51","1.45","1.93","0.79","0.29","-1.66","0.45","-1.33","1.59","0.27","3.31","-0.39","-0.53"
"入職率（前年差）","D建設業","５人以上","2007.0","-0.55","-2.15","-1.43","0.29","1.02","3.36","-1.02","1.06","-3.62","-0.57","-2.02","-1.52","0.03"
"入職率（前年差）","D建設業","５人以上","2008.0","-0.33","-0.71","-0.39","-0.96","-0.4","-2.63","-0.36","1.64","0.29","-0.68","0.57","-0.58","0.25"
"入職率（前年差）","D建設業","５人以上","2009.0","-0.05","-0.08","2.23","0.92","-0.82","-0.06","0.4","-2.14","-0.77","-0.67","0.65","0.61","-0.9"
"入職率（前年差）","D建設業","５人以上","2010.0","0.05","0.4","-2.23","0.51","0.59","0.19","-0.56","0.06","1.49","0.69","-0.94","-0.03","0.4"
"入職率（前年差）","D建設業","５人以上","2011.0","0.0","0.66","0.35","-1.51","1.49","-0.62","-0.13","-0.27","0.46","0.19","-0.63","-0.27","0.3"
"入職率（前年差）","D建設業","５人以上","2012.0","0.06","-0.75","-0.5","0.06","-1.08","1.59","0.86","-0.09","-0.75","0.08","0.64","0.23","0.46"
"入職率（前年差）","D建設業","５人以上","2013.0","0.08","0.67","0.97","0.22","1.17","-1.27","-0.72","0.09","-0.44","-0.69","-0.17","2.01","-0.94"
"入職率（前年差）","D建設業","５人以上","2014.0","0.05","0.22","0.13","0.42","-0.07","0.49","0.45","0.57","0.32","0.13","0.11","-2.89","0.72"
"入職率（前年差）","D建設業","５人以上","2015.0","0.09","-0.93","-1.24","1.03","2.05","-0.94","-0.19","0.31","0.26","0.65","-0.55","0.84","-0.15"
"入職率","E製造業","５人以上","2005.0","1.49","0.6","0.96","1.4","2.23","4.49","0.84","1.03","0.54","1.37","2.57","0.95","0.89"
"入職率","E製造業","５人以上","2006.0","1.73","0.93","1.11","1.16","2.76","1.62","1.98","1.69","2.02","1.58","3.99","1.07","0.84"
"入職率","E製造業","５人以上","2007.0","1.56","1.19","1.73","1.21","3.59","1.89","0.99","1.7","0.89","0.89","1.3","1.53","1.8"
"入職率","E製造業","５人以上","2008.0","1.86","2.32","1.16","1.36","3.95","1.34","1.37","0.72","0.66","2.95","1.82","1.34","3.27"
"入職率","E製造業","５人以上","2009.0","1.08","1.1","1.17","0.81","2.59","1.41","0.92","1.16","0.53","0.62","0.81","0.69","1.17"
"入職率","E製造業","５人以上","2010.0","0.99","0.8","0.86","1.13","2.09","0.81","0.93","0.93","0.58","1.25","0.91","0.79","0.85"
"入職率","E製造業","５人以上","2011.0","1.18","0.71","1.09","0.9","2.74","0.87","1.13","0.55","0.62","2.25","1.23","1.35","0.72"
"入職率","E製造業","５人以上","2012.0","1.09","0.6","1.67","1.24","3.22","1.48","0.92","0.46","0.42","0.64","0.95","0.8","0.67"
"入職率","E製造業","５人以上","2013.0","1.16","0.66","0.71","0.96","2.89","1.25","0.6","0.97","1.56","0.88","1.17","1.19","1.08"
"入職率","E製造業","５人以上","2014.0","1.12","0.66","1.1","0.92","3.09","1.61","1.32","0.95","0.49","0.67","0.76","0.86","0.98"
"入職率","E製造業","５人以上","2015.0","1.24","0.38","1.21","0.84","3.82","1.23","1.27","0.99","0.61","0.47","0.62","2.19","1.29"
"入職率（前年差）","E製造業","５人以上","2006.0","0.24","0.33","0.15","-0.24","0.53","-2.87","1.14","0.66","1.48","0.21","1.42","0.12","-0.05"
"入職率（前年差）","E製造業","５人以上","2007.0","-0.17","0.26","0.62","0.05","0.83","0.27","-0.99","0.01","-1.13","-0.69","-2.69","0.46","0.96"
"入職率（前年差）","E製造業","５人以上","2008.0","0.3","1.13","-0.57","0.15","0.36","-0.55","0.38","-0.98","-0.23","2.06","0.52","-0.19","1.47"
"入職率（前年差）","E製造業","５人以上","2009.0","-0.78","-1.22","0.01","-0.55","-1.36","0.07","-0.45","0.44","-0.13","-2.33","-1.01","-0.65","-2.1"
"入職率（前年差）","E製造業","５人以上","2010.0","-0.09","-0.3","-0.31","0.32","-0.5","-0.6","0.01","-0.23","0.05","0.63","0.1","0.1","-0.32"
"入職率（前年差）","E製造業","５人以上","2011.0","0.19","-0.09","0.23","-0.23","0.65","0.06","0.2","-0.38","0.04","1.0","0.32","0.56","-0.13"
"入職率（前年差）","E製造業","５人以上","2012.0","-0.09","-0.11","0.58","0.34","0.48","0.61","-0.21","-0.09","-0.2","-1.61","-0.28","-0.55","-0.05"
"入職率（前年差）","E製造業","５人以上","2013.0","0.07","0.06","-0.96","-0.28","-0.33","-0.23","-0.32","0.51","1.14","0.24","0.22","0.39","0.41"
"入職率（前年差）","E製造業","５人以上","2014.0","-0.04","0.0","0.39","-0.04","0.2","0.36","0.72","-0.02","-1.07","-0.21","-0.41","-0.33","-0.1"
"入職率（前年差）","E製造業","５人以上","2015.0","0.12","-0.28","0.11","-0.08","0.73","-0.38","-0.05","0.04","0.12","-0.2","-0.14","1.33","0.31"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2005.0","1.5","0.79","1.53","0.32","0.2","3.62","1.66","0.14","3.32","0.27","1.46","0.0","4.7"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2006.0","0.7","0.1","1.04","0.0","0.24","0.31","0.81","0.2","3.52","0.5","0.53","0.0","1.13"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2007.0","0.9","0.0","1.29","0.13","0.7","0.0","4.44","0.43","2.9","0.0","0.13","0.13","0.6"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2008.0","1.3","0.13","1.88","6.36","0.27","0.13","1.76","1.15","1.63","0.13","1.6","0.0","0.59"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2009.0","1.76","0.7","0.0","11.2","5.15","2.0","0.58","0.99","0.12","0.12","0.12","0.0","0.12"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2010.0","0.75","0.12","0.12","0.58","4.95","0.29","0.41","1.78","0.12","0.12","0.0","0.45","0.0"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2011.0","0.95","0.0","0.12","0.29","3.83","0.29","3.34","0.4","1.29","0.44","0.71","0.28","0.4"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2012.0","0.64","1.91","0.92","0.08","1.13","0.0","0.81","1.24","0.17","0.0","1.08","0.0","0.3"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2013.0","1.51","0.38","0.59","0.0","9.71","1.35","4.4","0.39","0.55","0.08","0.35","0.08","0.23"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2014.0","0.84","0.0","0.24","0.0","5.45","0.9","1.25","1.23","0.11","0.5","0.11","0.0","0.34"
"入職率","F電気・ガス・熱供給・水道業","５人以上","2015.0","0.32","0.0","0.12","0.12","0.36","0.12","1.5","0.88","0.51","0.26","0.0","0.0","0.0"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2006.0","-0.8","-0.69","-0.49","-0.32","0.04","-3.31","-0.85","0.06","0.2","0.23","-0.93","0.0","-3.57"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2007.0","0.2","-0.1","0.25","0.13","0.46","-0.31","3.63","0.23","-0.62","-0.5","-0.4","0.13","-0.53"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2008.0","0.4","0.13","0.59","6.23","-0.43","0.13","-2.68","0.72","-1.27","0.13","1.47","-0.13","-0.01"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2009.0","0.46","0.57","-1.88","4.84","4.88","1.87","-1.18","-0.16","-1.51","-0.01","-1.48","0.0","-0.47"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2010.0","-1.01","-0.58","0.12","-10.62","-0.2","-1.71","-0.17","0.79","0.0","0.0","-0.12","0.45","-0.12"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2011.0","0.2","-0.12","0.0","-0.29","-1.12","0.0","2.93","-1.38","1.17","0.32","0.71","-0.17","0.4"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2012.0","-0.31","1.91","0.8","-0.21","-2.7","-0.29","-2.53","0.84","-1.12","-0.44","0.37","-0.28","-0.1"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2013.0","0.87","-1.53","-0.33","-0.08","8.58","1.35","3.59","-0.85","0.38","0.08","-0.73","0.08","-0.07"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2014.0","-0.67","-0.38","-0.35","0.0","-4.26","-0.45","-3.15","0.84","-0.44","0.42","-0.24","-0.08","0.11"
"入職率（前年差）","F電気・ガス・熱供給・水道業","５人以上","2015.0","-0.52","0.0","-0.12","0.12","-5.09","-0.78","0.25","-0.35","0.4","-0.24","-0.11","0.0","-0.34"
"入職率","G情報通信業","５人以上","2005.0","1.48","1.84","0.34","0.14","7.71","0.44","0.31","1.21","1.72","0.45","1.83","1.28","0.49"
"入職率","G情報通信業","５人以上","2006.0","1.07","0.34","0.06","0.26","4.71","0.34","0.2","1.53","1.56","0.29","1.29","0.65","1.57"
"入職率","G情報通信業","５人以上","2007.0","2.6","0.93","1.67","4.13","7.76","3.15","5.42","1.31","0.27","1.54","0.97","1.74","2.27"
"入職率","G情報通信業","５人以上","2008.0","4.4","4.28","0.32","0.46","4.0","0.41","1.43","0.79","0.49","0.62","0.95","0.2","38.84"
"入職率","G情報通信業","５人以上","2009.0","3.78","1.44","0.0","1.25","5.69","0.98","0.49","23.58","0.03","0.11","0.0","2.87","8.91"
"入職率","G情報通信業","５人以上","2010.0","1.37","0.43","0.0","0.0","1.14","3.6","0.0","1.24","1.62","3.14","1.67","0.46","3.12"
"入職率","G情報通信業","５人以上","2011.0","0.97","0.06","0.48","0.06","1.16","1.65","1.06","3.36","0.29","0.95","0.13","0.36","2.06"
"入職率","G情報通信業","５人以上","2012.0","1.76","0.06","0.67","0.54","4.04","2.36","0.65","3.57","1.58","0.26","1.45","0.0","5.97"
"入職率","G情報通信業","５人以上","2013.0","1.77","0.0","1.29","2.38","4.77","5.72","0.96","0.85","2.02","0.11","1.29","1.05","0.76"
"入職率","G情報通信業","５人以上","2014.0","1.34","0.86","1.01","3.22","2.2","1.51","1.27","0.34","0.64","2.8","1.63","0.56","0.0"
"入職率","G情報通信業","５人以上","2015.0","1.74","0.88","0.58","1.41","5.12","1.83","1.93","2.85","1.38","2.43","0.18","0.39","1.86"
"入職率（前年差）","G情報通信業","５人以上","2006.0","-0.41","-1.5","-0.28","0.12","-3.0","-0.1","-0.11","0.32","-0.16","-0.16","-0.54","-0.63","1.08"
"入職率（前年差）","G情報通信業","５人以上","2007.0","1.53","0.59","1.61","3.87","3.05","2.81","5.22","-0.22","-1.29","1.25","-0.32","1.09","0.7"
"入職率（前年差）","G情報通信業","５人以上","2008.0","1.8","3.35","-1.35","-3.67","-3.76","-2.74","-3.99","-0.52","0.22","-0.92","-0.02","-1.54","36.57"
"入職率（前年差）","G情報通信業","５人以上","2009.0","-0.62","-2.84","-0.32","0.79","1.69","0.57","-0.94","22.79","-0.46","-0.51","-0.95","2.67","-29.93"
"入職率（前年差）","G情報通信業","５人以上","2010.0","-2.41","-1.01","0.0","-1.25","-4.55","2.62","-0.49","-22.34","1.59","3.03","1.67","-2.41","-5.79"
"入職率（前年差）","G情報通信業","５人以上","2011.0","-0.4","-0.37","0.48","0.06","0.02","-1.95","1.06","2.12","-1.33","-2.19","-1.54","-0.1","-1.06"
"入職率（前年差）","G情報通信業","５人以上","2012.0","0.79","0.0","0.19","0.48","2.88","0.71","-0.41","0.21","1.29","-0.69","1.32","-0.36","3.91"
"入職率（前年差）","G情報通信業","５人以上","2013.0","0.01","-0.06","0.62","1.84","0.73","3.36","0.31","-2.72","0.44","-0.15","-0.16","1.05","-5.21"
"入職率（前年差）","G情報通信業","５人以上","2014.0","-0.43","0.86","-0.28","0.84","-2.57","-4.21","0.31","-0.51","-1.38","2.69","0.34","-0.49","-0.76"
"入職率（前年差）","G情報通信業","５人以上","2015.0","0.4","0.02","-0.43","-1.81","2.92","0.32","0.66","2.51","0.74","-0.37","-1.45","-0.17","1.86"
"入職率","H運輸業、郵便業","５人以上","2005.0","0.7","0.35","0.3","0.28","2.03","0.26","0.91","0.75","0.68","0.2","1.27","0.9","0.5"
"入職率","H運輸業、郵便業","５人以上","2006.0","1.57","1.01","0.54","0.54","1.13","0.83","0.74","1.38","0.78","2.11","0.4","3.46","5.86"
"入職率","H運輸業、郵便業","５人以上","2007.0","1.34","2.5","1.38","1.1","1.96","0.86","0.81","0.54","0.75","0.78","2.33","1.66","1.37"
"入職率","H運輸業、郵便業","５人以上","2008.0","1.4","0.63","0.48","0.96","2.34","2.71","1.22","0.54","1.81","2.36","2.55","0.58","0.66"
"入職率","H運輸業、郵便業","５人以上","2009.0","1.86","1.06","2.33","1.98","1.77","3.04","1.9","2.39","0.34","3.58","1.19","0.83","1.94"
"入職率","H運輸業、郵便業","５人以上","2010.0","1.64","1.18","0.37","0.72","2.33","1.55","4.16","0.52","0.46","0.59","2.92","1.49","3.38"
"入職率","H運輸業、郵便業","５人以上","2011.0","1.2","0.37","4.2","0.68","1.25","0.84","0.46","0.42","0.88","0.9","1.21","0.83","2.3"
"入職率","H運輸業、郵便業","５人以上","2012.0","1.06","0.47","0.58","0.8","2.73","0.55","1.11","0.85","0.48","0.64","1.57","0.91","1.98"
"入職率","H運輸業、郵便業","５人以上","2013.0","1.41","1.48","1.31","0.95","3.34","0.95","1.78","1.48","0.85","0.71","1.34","0.6","2.16"
"入職率","H運輸業、郵便業","５人以上","2014.0","1.19","0.99","0.8","0.64","2.67","0.66","0.76","1.05","0.38","0.84","3.02","0.51","1.96"
"入職率","H運輸業、郵便業","５人以上","2015.0","1.11","1.7","0.61","0.57","1.82","0.52","1.31","0.06","0.66","0.35","1.9","0.15","3.66"
"入職率（前年差）","H運輸業、郵便業","５人以上","2006.0","0.87","0.66","0.24","0.26","-0.9","0.57","-0.17","0.63","0.1","1.91","-0.87","2.56","5.36"
"入職率（前年差）","H運輸業、郵便業","５人以上","2007.0","-0.23","1.49","0.84","0.56","0.83","0.03","0.07","-0.84","-0.03","-1.33","1.93","-1.8","-4.49"
"入職率（前年差）","H運輸業、郵便業","５人以上","2008.0","0.06","-1.87","-0.9","-0.14","0.38","1.85","0.41","0.0","1.06","1.58","0.22","-1.08","-0.71"
"入職率（前年差）","H運輸業、郵便業","５人以上","2009.0","0.46","0.43","1.85","1.02","-0.57","0.33","0.68","1.85","-1.47","1.22","-1.36","0.25","1.28"
"入職率（前年差）","H運輸業、郵便業","５人以上","2010.0","-0.22","0.12","-1.96","-1.26","0.56","-1.49","2.26","-1.87","0.12","-2.99","1.73","0.66","1.44"
"入職率（前年差）","H運輸業、郵便業","５人以上","2011.0","-0.44","-0.81","3.83","-0.04","-1.08","-0.71","-3.7","-0.1","0.42","0.31","-1.71","-0.66","-1.08"
"入職率（前年差）","H運輸業、郵便業","５人以上","2012.0","-0.14","0.1","-3.62","0.12","1.48","-0.29","0.65","0.43","-0.4","-0.26","0.36","0.08","-0.32"
"入職率（前年差）","H運輸業、郵便業","５人以上","2013.0","0.35","1.01","0.73","0.15","0.61","0.4","0.67","0.63","0.37","0.07","-0.23","-0.31","0.18"
"入職率（前年差）","H運輸業、郵便業","５人以上","2014.0","-0.22","-0.49","-0.51","-0.31","-0.67","-0.29","-1.02","-0.43","-0.47","0.13","1.68","-0.09","-0.2"
"入職率（前年差）","H運輸業、郵便業","５人以上","2015.0","-0.08","0.71","-0.19","-0.07","-0.85","-0.14","0.55","-0.99","0.28","-0.49","-1.12","-0.36","1.7"
"入職率","I卸売業・小売業","５人以上","2005.0","2.12","2.01","2.58","2.22","3.56","1.24","2.34","2.69","2.63","1.28","1.49","1.37","2.02"
"入職率","I卸売業・小売業","５人以上","2006.0","2.23","0.72","1.6","5.06","2.57","2.3","1.48","1.96","3.09","2.36","2.65","2.13","0.78"
"入職率","I卸売業・小売業","５人以上","2007.0","2.08","0.84","2.9","2.39","2.57","2.98","1.68","1.72","3.42","1.71","2.02","1.58","1.16"
"入職率","I卸売業・小売業","５人以上","2008.0","2.05","3.22","0.63","2.49","1.2","1.56","2.19","3.67","1.23","4.76","1.09","0.98","1.59"
"入職率","I卸売業・小売業","５人以上","2009.0","2.11","0.81","1.3","2.46","2.84","3.2","0.77","2.62","0.88","0.94","1.95","5.03","2.5"
"入職率","I卸売業・小売業","５人以上","2010.0","1.65","0.25","0.72","4.24","2.6","0.79","1.17","1.43","0.62","1.83","2.15","2.61","1.33"
"入職率","I卸売業・小売業","５人以上","2011.0","1.73","1.7","2.33","2.12","2.07","0.9","0.78","1.47","1.82","1.51","2.49","2.5","1.01"
"入職率","I卸売業・小売業","５人以上","2012.0","1.61","1.56","1.46","2.23","2.75","1.84","1.72","1.2","1.07","1.15","1.72","1.65","0.95"
"入職率","I卸売業・小売業","５人以上","2013.0","1.85","0.87","2.66","1.96","4.36","1.17","1.15","0.81","2.0","1.61","1.89","2.42","1.28"
"入職率","I卸売業・小売業","５人以上","2014.0","1.86","0.94","1.17","2.57","3.94","2.68","1.08","1.8","1.34","1.76","1.73","2.09","1.26"
"入職率","I卸売業・小売業","５人以上","2015.0","1.74","1.36","2.05","1.62","2.25","1.49","1.26","1.33","1.38","2.84","2.47","1.29","1.59"
"入職率（前年差）","I卸売業・小売業","５人以上","2006.0","0.11","-1.29","-0.98","2.84","-0.99","1.06","-0.86","-0.73","0.46","1.08","1.16","0.76","-1.24"
"入職率（前年差）","I卸売業・小売業","５人以上","2007.0","-0.15","0.12","1.3","-2.67","0.0","0.68","0.2","-0.24","0.33","-0.65","-0.63","-0.55","0.38"
"入職率（前年差）","I卸売業・小売業","５人以上","2008.0","-0.03","2.38","-2.27","0.1","-1.37","-1.42","0.51","1.95","-2.19","3.05","-0.93","-0.6","0.43"
"入職率（前年差）","I卸売業・小売業","５人以上","2009.0","0.06","-2.41","0.67","-0.03","1.64","1.64","-1.42","-1.05","-0.35","-3.82","0.86","4.05","0.91"
"入職率（前年差）","I卸売業・小売業","５人以上","2010.0","-0.46","-0.56","-0.58","1.78","-0.24","-2.41","0.4","-1.19","-0.26","0.89","0.2","-2.42","-1.17"
"入職率（前年差）","I卸売業・小売業","５人以上","2011.0","0.08","1.45","1.61","-2.12","-0.53","0.11","-0.39","0.04","1.2","-0.32","0.34","-0.11","-0.32"
"入職率（前年差）","I卸売業・小売業","５人以上","2012.0","-0.12","-0.14","-0.87","0.11","0.68","0.94","0.94","-0.27","-0.75","-0.36","-0.77","-0.85","-0.06"
"入職率（前年差）","I卸売業・小売業","５人以上","2013.0","0.24","-0.69","1.2","-0.27","1.61","-0.67","-0.57","-0.39","0.93","0.46","0.17","0.77","0.33"
"入職率（前年差）","I卸売業・小売業","５人以上","2014.0","0.01","0.07","-1.49","0.61","-0.42","1.51","-0.07","0.99","-0.66","0.15","-0.16","-0.33","-0.02"
"入職率（前年差）","I卸売業・小売業","５人以上","2015.0","-0.12","0.42","0.88","-0.95","-1.69","-1.19","0.18","-0.47","0.04","1.08","0.74","-0.8","0.33"
"入職率","J金融業・保険業","５人以上","2005.0","1.5","1.34","0.97","0.43","3.95","0.63","2.5","0.63","1.95","0.85","2.66","0.24","1.88"
"入職率","J金融業・保険業","５人以上","2006.0","2.02","0.26","3.43","1.52","5.87","0.49","0.24","0.64","0.18","2.41","4.6","2.56","2.03"
"入職率","J金融業・保険業","５人以上","2007.0","2.06","0.85","1.04","1.73","4.86","3.88","1.23","1.23","2.37","0.9","3.22","1.14","2.32"
"入職率","J金融業・保険業","５人以上","2008.0","1.69","1.74","1.41","1.07","3.65","1.04","1.83","3.79","0.86","0.63","1.85","1.18","1.2"
