"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","D建設業","３０人以上","2006.0","0.85","Ｘ","Ｘ","0.0","1.66","0.7","0.69","0.28","3.09","0.0","0.96","Ｘ","Ｘ"
"入職率","D建設業","３０人以上","2007.0","1.38","0.3","0.69","1.56","1.44","1.14","0.58","2.43","1.83","0.95","2.41","1.69","1.48"
"入職率","D建設業","３０人以上","2008.0","1.29","0.68","0.98","1.53","3.55","0.49","1.91","1.7","0.54","1.03","0.98","0.57","1.56"
"入職率","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率","D建設業","３０人以上","2012.0","1.2","0.57","0.68","1.23","4.91","1.06","1.56","0.84","1.29","0.58","0.81","0.64","0.24"
"入職率（前年差）","D建設業","３０人以上","2007.0","0.53","Ｘ","Ｘ","1.56","-0.22","0.44","-0.11","2.15","-1.26","0.95","1.45","Ｘ","Ｘ"
"入職率（前年差）","D建設業","３０人以上","2008.0","-0.09","0.38","0.29","-0.03","2.11","-0.65","1.33","-0.73","-1.29","0.08","-1.43","-1.12","0.08"
"入職率（前年差）","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率（前年差）","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率（前年差）","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率（前年差）","D建設業","３０人以上","2012.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率","E製造業","３０人以上","2006.0","1.68","0.9","0.82","1.16","3.34","1.26","1.12","1.81","1.45","1.04","5.51","1.22","0.52"
"入職率","E製造業","３０人以上","2007.0","1.17","0.86","0.87","0.64","3.44","0.84","0.98","1.45","0.94","0.98","0.96","1.15","0.89"
"入職率","E製造業","３０人以上","2008.0","1.12","0.71","1.07","0.74","3.37","1.21","0.75","0.84","0.8","0.87","1.27","0.86","1.0"
"入職率","E製造業","３０人以上","2009.0","0.88","0.79","0.61","0.77","2.83","0.75","0.61","0.77","0.23","0.5","0.89","0.98","0.85"
"入職率","E製造業","３０人以上","2010.0","0.76","0.66","0.51","0.6","2.5","0.52","0.55","0.63","0.6","0.68","0.89","0.54","0.4"
"入職率","E製造業","３０人以上","2011.0","0.96","0.51","0.47","1.0","3.49","0.72","0.85","0.5","0.67","0.62","0.9","0.99","0.8"
"入職率","E製造業","３０人以上","2012.0","0.97","0.46","0.89","1.05","3.04","1.56","0.93","0.42","0.54","0.6","1.29","0.38","0.48"
"入職率（前年差）","E製造業","３０人以上","2007.0","-0.51","-0.04","0.05","-0.52","0.1","-0.42","-0.14","-0.36","-0.51","-0.06","-4.55","-0.07","0.37"
"入職率（前年差）","E製造業","３０人以上","2008.0","-0.05","-0.15","0.2","0.1","-0.07","0.37","-0.23","-0.61","-0.14","-0.11","0.31","-0.29","0.11"
"入職率（前年差）","E製造業","３０人以上","2009.0","-0.24","0.08","-0.46","0.03","-0.54","-0.46","-0.14","-0.07","-0.57","-0.37","-0.38","0.12","-0.15"
"入職率（前年差）","E製造業","３０人以上","2010.0","-0.12","-0.13","-0.1","-0.17","-0.33","-0.23","-0.06","-0.14","0.37","0.18","0.0","-0.44","-0.45"
"入職率（前年差）","E製造業","３０人以上","2011.0","0.2","-0.15","-0.04","0.4","0.99","0.2","0.3","-0.13","0.07","-0.06","0.01","0.45","0.4"
"入職率（前年差）","E製造業","３０人以上","2012.0","0.01","-0.05","0.42","0.05","-0.45","0.84","0.08","-0.08","-0.13","-0.02","0.39","-0.61","-0.32"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2006.0","0.82","0.15","1.54","0.0","0.35","0.45","1.19","0.29","2.65","0.74","0.79","0.0","1.67"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.92","0.0","1.9","0.19","0.39","0.0","6.54","0.63","0.19","0.0","0.19","0.19","0.87"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2008.0","0.93","0.19","2.76","0.0","0.39","0.2","2.59","1.68","2.34","0.19","0.0","0.0","0.86"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2009.0","0.95","0.17","0.0","0.0","6.85","2.25","0.78","0.72","0.17","0.17","0.17","0.0","0.17"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2010.0","0.94","0.17","0.17","0.78","6.19","0.39","0.56","2.06","0.16","0.16","0.0","0.61","0.0"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2011.0","1.28","0.0","0.17","0.39","5.18","0.39","4.51","0.54","1.72","0.58","0.95","0.37","0.53"
"入職率","F電気・ガス・熱供給・水道業","３０人以上","2012.0","0.8","2.7","1.29","0.11","1.59","0.0","1.14","1.24","0.17","0.0","1.08","0.0","0.3"
"入職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.1","-0.15","0.36","0.19","0.04","-0.45","5.35","0.34","-2.46","-0.74","-0.6","0.19","-0.8"
"入職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2008.0","0.01","0.19","0.86","-0.19","0.0","0.2","-3.95","1.05","2.15","0.19","-0.19","-0.19","-0.01"
"入職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2009.0","0.02","-0.02","-2.76","0.0","6.46","2.05","-1.81","-0.96","-2.17","-0.02","0.17","0.0","-0.69"
"入職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2010.0","-0.01","0.0","0.17","0.78","-0.66","-1.86","-0.22","1.34","-0.01","-0.01","-0.17","0.61","-0.17"
"入職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2011.0","0.34","-0.17","0.0","-0.39","-1.01","0.0","3.95","-1.52","1.56","0.42","0.95","-0.24","0.53"
"入職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2012.0","-0.48","2.7","1.12","-0.28","-3.59","-0.39","-3.37","0.7","-1.55","-0.58","0.13","-0.37","-0.23"
"入職率","G情報通信業","３０人以上","2006.0","0.74","0.18","0.07","0.07","3.0","0.19","0.26","1.6","0.3","0.12","0.19","0.86","2.06"
"入職率","G情報通信業","３０人以上","2007.0","2.17","1.22","0.19","0.73","6.32","4.16","5.04","1.69","0.34","2.01","1.26","2.27","0.77"
"入職率","G情報通信業","３０人以上","2008.0","6.29","3.59","0.44","0.62","5.42","0.54","1.91","1.22","0.77","0.97","1.5","0.51","58.03"
"入職率","G情報通信業","３０人以上","2009.0","4.85","0.46","0.0","1.86","1.83","1.52","0.75","35.48","0.04","0.15","0.0","3.96","12.16"
"入職率","G情報通信業","３０人以上","2010.0","0.75","0.63","0.0","0.0","1.62","0.0","0.0","0.64","0.34","0.53","0.1","0.67","4.48"
"入職率","G情報通信業","３０人以上","2011.0","0.94","0.09","0.37","0.09","1.64","1.47","1.13","3.77","0.42","0.09","0.19","0.19","1.86"
"入職率","G情報通信業","３０人以上","2012.0","0.96","0.08","0.43","0.76","3.06","1.96","0.39","2.18","0.82","0.37","0.61","0.0","0.86"
"入職率（前年差）","G情報通信業","３０人以上","2007.0","1.43","1.04","0.12","0.66","3.32","3.97","4.78","0.09","0.04","1.89","1.07","1.41","-1.29"
"入職率（前年差）","G情報通信業","３０人以上","2008.0","4.12","2.37","0.25","-0.11","-0.9","-3.62","-3.13","-0.47","0.43","-1.04","0.24","-1.76","57.26"
"入職率（前年差）","G情報通信業","３０人以上","2009.0","-1.44","-3.13","-0.44","1.24","-3.59","0.98","-1.16","34.26","-0.73","-0.82","-1.5","3.45","-45.87"
"入職率（前年差）","G情報通信業","３０人以上","2010.0","-4.1","0.17","0.0","-1.86","-0.21","-1.52","-0.75","-34.84","0.3","0.38","0.1","-3.29","-7.68"
"入職率（前年差）","G情報通信業","３０人以上","2011.0","0.19","-0.54","0.37","0.09","0.02","1.47","1.13","3.13","0.08","-0.44","0.09","-0.48","-2.62"
"入職率（前年差）","G情報通信業","３０人以上","2012.0","0.02","-0.01","0.06","0.67","1.42","0.49","-0.74","-1.59","0.4","0.28","0.42","-0.19","-1.0"
"入職率","H運輸業、郵便業","３０人以上","2006.0","0.94","0.3","0.2","0.86","1.72","0.85","0.7","1.11","0.27","2.73","0.45","1.37","0.72"
"入職率","H運輸業、郵便業","３０人以上","2007.0","1.22","1.73","2.22","1.38","2.31","1.01","0.93","0.86","0.81","0.42","1.23","0.84","0.84"
"入職率","H運輸業、郵便業","３０人以上","2008.0","1.09","0.72","0.78","1.26","2.85","1.37","1.23","0.86","0.5","0.78","0.94","0.71","1.05"
"入職率","H運輸業、郵便業","３０人以上","2009.0","2.04","1.45","2.13","1.29","1.87","4.53","1.44","1.32","0.61","5.33","0.98","1.15","2.32"
"入職率","H運輸業、郵便業","３０人以上","2010.0","1.62","1.12","0.63","1.0","3.07","1.48","2.61","0.92","0.82","1.04","2.69","0.32","3.73"
"入職率","H運輸業、郵便業","３０人以上","2011.0","1.23","0.36","0.87","0.99","1.98","1.57","0.24","0.78","1.48","1.19","1.29","0.88","3.07"
"入職率","H運輸業、郵便業","３０人以上","2012.0","1.09","0.31","0.58","0.66","2.98","0.88","1.58","0.39","0.64","0.68","1.24","0.76","2.43"
"入職率（前年差）","H運輸業、郵便業","３０人以上","2007.0","0.28","1.43","2.02","0.52","0.59","0.16","0.23","-0.25","0.54","-2.31","0.78","-0.53","0.12"
"入職率（前年差）","H運輸業、郵便業","３０人以上","2008.0","-0.13","-1.01","-1.44","-0.12","0.54","0.36","0.3","0.0","-0.31","0.36","-0.29","-0.13","0.21"
"入職率（前年差）","H運輸業、郵便業","３０人以上","2009.0","0.95","0.73","1.35","0.03","-0.98","3.16","0.21","0.46","0.11","4.55","0.04","0.44","1.27"
"入職率（前年差）","H運輸業、郵便業","３０人以上","2010.0","-0.42","-0.33","-1.5","-0.29","1.2","-3.05","1.17","-0.4","0.21","-4.29","1.71","-0.83","1.41"
"入職率（前年差）","H運輸業、郵便業","３０人以上","2011.0","-0.39","-0.76","0.24","-0.01","-1.09","0.09","-2.37","-0.14","0.66","0.15","-1.4","0.56","-0.66"
"入職率（前年差）","H運輸業、郵便業","３０人以上","2012.0","-0.14","-0.05","-0.29","-0.33","1.0","-0.69","1.34","-0.39","-0.84","-0.51","-0.05","-0.12","-0.64"
"入職率","I卸売業・小売業","３０人以上","2006.0","2.13","0.86","0.92","6.09","2.88","2.55","1.91","1.38","1.75","2.23","1.77","1.95","1.24"
"入職率","I卸売業・小売業","３０人以上","2007.0","1.9","0.39","1.71","2.66","3.97","1.85","1.67","1.91","2.13","1.57","1.98","1.93","1.07"
"入職率","I卸売業・小売業","３０人以上","2008.0","1.64","5.93","0.59","2.28","2.53","1.42","1.17","1.25","0.96","0.74","1.38","0.54","0.88"
"入職率","I卸売業・小売業","３０人以上","2009.0","1.84","0.38","1.26","2.13","2.37","2.16","0.69","1.87","0.52","0.6","0.58","8.63","0.9"
"入職率","I卸売業・小売業","３０人以上","2010.0","1.92","0.18","1.48","7.98","2.96","0.74","0.81","0.98","0.78","0.48","1.82","4.21","0.63"
"入職率","I卸売業・小売業","３０人以上","2011.0","1.46","0.32","3.0","1.84","0.86","0.41","0.72","0.84","1.88","1.31","1.16","4.52","0.6"
"入職率","I卸売業・小売業","３０人以上","2012.0","1.46","0.81","1.21","2.54","4.05","0.64","1.35","1.55","0.88","1.1","1.09","1.14","1.16"
"入職率（前年差）","I卸売業・小売業","３０人以上","2007.0","-0.23","-0.47","0.79","-3.43","1.09","-0.7","-0.24","0.53","0.38","-0.66","0.21","-0.02","-0.17"
"入職率（前年差）","I卸売業・小売業","３０人以上","2008.0","-0.26","5.54","-1.12","-0.38","-1.44","-0.43","-0.5","-0.66","-1.17","-0.83","-0.6","-1.39","-0.19"
"入職率（前年差）","I卸売業・小売業","３０人以上","2009.0","0.2","-5.55","0.67","-0.15","-0.16","0.74","-0.48","0.62","-0.44","-0.14","-0.8","8.09","0.02"
"入職率（前年差）","I卸売業・小売業","３０人以上","2010.0","0.08","-0.2","0.22","5.85","0.59","-1.42","0.12","-0.89","0.26","-0.12","1.24","-4.42","-0.27"
"入職率（前年差）","I卸売業・小売業","３０人以上","2011.0","-0.46","0.14","1.52","-6.14","-2.1","-0.33","-0.09","-0.14","1.1","0.83","-0.66","0.31","-0.03"
"入職率（前年差）","I卸売業・小売業","３０人以上","2012.0","0.0","0.49","-1.79","0.7","3.19","0.23","0.63","0.71","-1.0","-0.21","-0.07","-3.38","0.56"
"入職率","J金融業・保険業","３０人以上","2006.0","2.57","0.63","3.75","0.8","7.08","1.14","0.56","0.79","0.43","0.6","9.56","4.07","1.39"
"入職率","J金融業・保険業","３０人以上","2007.0","2.43","1.79","2.14","1.73","3.96","1.34","2.48","0.98","3.16","1.53","5.38","2.22","2.5"
"入職率","J金融業・保険業","３０人以上","2008.0","2.67","2.46","1.57","2.2","4.59","2.49","2.57","3.19","2.09","1.52","3.55","2.9","2.91"
"入職率","J金融業・保険業","３０人以上","2009.0","1.9","0.64","0.0","0.32","9.67","0.0","1.56","1.97","0.0","0.98","6.31","0.0","1.33"
"入職率","J金融業・保険業","３０人以上","2010.0","1.69","0.69","0.34","0.0","7.8","0.0","3.01","0.0","0.0","0.0","6.41","0.0","2.06"
"入職率","J金融業・保険業","３０人以上","2011.0","1.81","0.35","0.0","0.0","8.95","0.0","2.05","2.73","0.0","0.0","7.27","0.0","0.35"
"入職率","J金融業・保険業","３０人以上","2012.0","2.3","1.68","2.22","0.4","8.65","2.57","2.06","0.6","1.13","0.7","5.15","1.29","1.15"
"入職率（前年差）","J金融業・保険業","３０人以上","2007.0","-0.14","1.16","-1.61","0.93","-3.12","0.2","1.92","0.19","2.73","0.93","-4.18","-1.85","1.11"
"入職率（前年差）","J金融業・保険業","３０人以上","2008.0","0.24","0.67","-0.57","0.47","0.63","1.15","0.09","2.21","-1.07","-0.01","-1.83","0.68","0.41"
"入職率（前年差）","J金融業・保険業","３０人以上","2009.0","-0.77","-1.82","-1.57","-1.88","5.08","-2.49","-1.01","-1.22","-2.09","-0.54","2.76","-2.9","-1.58"
"入職率（前年差）","J金融業・保険業","３０人以上","2010.0","-0.21","0.05","0.34","-0.32","-1.87","0.0","1.45","-1.97","0.0","-0.98","0.1","0.0","0.73"
"入職率（前年差）","J金融業・保険業","３０人以上","2011.0","0.12","-0.34","-0.34","0.0","1.15","0.0","-0.96","2.73","0.0","0.0","0.86","0.0","-1.71"
"入職率（前年差）","J金融業・保険業","３０人以上","2012.0","0.49","1.33","2.22","0.4","-0.3","2.57","0.01","-2.13","1.13","0.7","-2.12","1.29","0.8"
"入職率","K不動産業、物品賃貸業","３０人以上","2010.0","3.26","2.0","6.32","0.0","7.46","1.03","8.98","3.07","0.0","1.07","8.12","1.02","0.0"
"入職率","K不動産業、物品賃貸業","３０人以上","2011.0","4.23","2.11","0.0","4.74","15.64","2.96","4.95","5.75","1.7","2.77","0.93","4.13","5.1"
"入職率","K不動産業、物品賃貸業","３０人以上","2012.0","2.42","8.49","3.61","2.37","3.19","1.88","0.35","1.29","1.98","2.17","0.11","1.96","1.61"
"入職率（前年差）","K不動産業、物品賃貸業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","K不動産業、物品賃貸業","３０人以上","2011.0","0.97","0.11","-6.32","4.74","8.18","1.93","-4.03","2.68","1.7","1.7","-7.19","3.11","5.1"
"入職率（前年差）","K不動産業、物品賃貸業","３０人以上","2012.0","-1.81","6.38","3.61","-2.37","-12.45","-1.08","-4.6","-4.46","0.28","-0.6","-0.82","-2.17","-3.49"
"入職率","L学術研究、専門･技術サービス業","３０人以上","2010.0","1.36","1.35","0.91","0.57","9.25","0.78","0.21","0.99","0.56","0.0","0.77","0.21","0.71"
"入職率","L学術研究、専門･技術サービス業","３０人以上","2011.0","1.33","1.78","1.13","0.35","8.98","0.59","0.59","0.94","0.36","0.0","0.59","0.37","0.22"
"入職率","L学術研究、専門･技術サービス業","３０人以上","2012.0","1.62","0.0","0.86","0.0","2.1","6.38","3.83","0.0","2.04","0.0","0.31","2.02","1.92"
"入職率（前年差）","L学術研究、専門･技術サービス業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","L学術研究、専門･技術サービス業","３０人以上","2011.0","-0.03","0.43","0.22","-0.22","-0.27","-0.19","0.38","-0.05","-0.2","0.0","-0.18","0.16","-0.49"
"入職率（前年差）","L学術研究、専門･技術サービス業","３０人以上","2012.0","0.29","-1.78","-0.27","-0.35","-6.88","5.79","3.24","-0.94","1.68","0.0","-0.28","1.65","1.7"
"入職率","M宿泊業、飲食サービス業","３０人以上","2010.0","2.95","2.27","2.31","4.7","2.9","5.02","2.76","2.96","3.6","2.87","0.7","4.72","0.63"
"入職率","M宿泊業、飲食サービス業","３０人以上","2011.0","3.45","1.91","6.04","6.19","6.11","2.2","2.35","1.5","5.72","3.58","2.77","1.64","1.33"
"入職率","M宿泊業、飲食サービス業","３０人以上","2012.0","3.75","1.5","3.63","2.39","7.81","6.83","4.64","2.96","1.53","4.47","2.51","3.25","3.51"
"入職率（前年差）","M宿泊業、飲食サービス業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","M宿泊業、飲食サービス業","３０人以上","2011.0","0.5","-0.36","3.73","1.49","3.21","-2.82","-0.41","-1.46","2.12","0.71","2.07","-3.08","0.7"
"入職率（前年差）","M宿泊業、飲食サービス業","３０人以上","2012.0","0.3","-0.41","-2.41","-3.8","1.7","4.63","2.29","1.46","-4.19","0.89","-0.26","1.61","2.18"
"入職率","N生活関連サービス業、娯楽業","３０人以上","2010.0","2.25","0.0","3.19","0.63","3.8","1.23","3.07","1.82","2.44","2.41","4.82","0.0","3.55"
"入職率","N生活関連サービス業、娯楽業","３０人以上","2011.0","2.11","1.16","1.74","0.0","2.94","0.58","4.07","2.98","2.96","1.76","2.94","1.8","2.41"
"入職率","N生活関連サービス業、娯楽業","３０人以上","2012.0","7.19","0.0","3.79","3.38","6.06","0.0","15.88","9.38","1.02","4.1","4.43","4.32","33.86"
"入職率（前年差）","N生活関連サービス業、娯楽業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","N生活関連サービス業、娯楽業","３０人以上","2011.0","-0.14","1.16","-1.45","-0.63","-0.86","-0.65","1.0","1.16","0.52","-0.65","-1.88","1.8","-1.14"
"入職率（前年差）","N生活関連サービス業、娯楽業","３０人以上","2012.0","5.08","-1.16","2.05","3.38","3.12","-0.58","11.81","6.4","-1.94","2.34","1.49","2.52","31.45"
"入職率","O教育，学習支援業","３０人以上","2006.0","3.04","0.7","0.39","0.52","24.32","1.76","0.71","0.62","1.4","2.73","1.9","0.68","0.69"
"入職率","O教育，学習支援業","３０人以上","2007.0","1.42","0.43","0.15","0.0","13.5","0.53","0.27","0.27","0.43","0.98","0.31","0.21","0.0"
"入職率","O教育，学習支援業","３０人以上","2008.0","1.62","0.56","0.03","0.03","17.3","0.25","0.46","0.03","0.15","0.43","0.0","0.18","0.0"
"入職率","O教育，学習支援業","３０人以上","2009.0","2.29","0.39","0.0","0.05","13.38","1.73","1.02","1.4","0.74","2.65","5.07","0.67","0.33"
"入職率","O教育，学習支援業","３０人以上","2010.0","3.24","1.28","0.2","0.83","28.45","0.42","0.62","1.22","1.28","1.27","2.74","0.29","0.24"
"入職率","O教育，学習支援業","３０人以上","2011.0","3.02","0.78","0.19","0.14","28.0","1.04","0.51","0.14","0.91","0.86","2.53","0.63","0.55"
"入職率","O教育，学習支援業","３０人以上","2012.0","1.78","0.47","0.2","0.08","10.64","3.39","0.85","0.23","0.8","1.92","2.19","0.1","0.46"
"入職率（前年差）","O教育，学習支援業","３０人以上","2007.0","-1.62","-0.27","-0.24","-0.52","-10.82","-1.23","-0.44","-0.35","-0.97","-1.75","-1.59","-0.47","-0.69"
"入職率（前年差）","O教育，学習支援業","３０人以上","2008.0","0.2","0.13","-0.12","0.03","3.8","-0.28","0.19","-0.24","-0.28","-0.55","-0.31","-0.03","0.0"
"入職率（前年差）","O教育，学習支援業","３０人以上","2009.0","0.67","-0.17","-0.03","0.02","-3.92","1.48","0.56","1.37","0.59","2.22","5.07","0.49","0.33"
"入職率（前年差）","O教育，学習支援業","３０人以上","2010.0","0.95","0.89","0.2","0.78","15.07","-1.31","-0.4","-0.18","0.54","-1.38","-2.33","-0.38","-0.09"
"入職率（前年差）","O教育，学習支援業","３０人以上","2011.0","-0.22","-0.5","-0.01","-0.69","-0.45","0.62","-0.11","-1.08","-0.37","-0.41","-0.21","0.34","0.31"
"入職率（前年差）","O教育，学習支援業","３０人以上","2012.0","-1.24","-0.31","0.01","-0.06","-17.36","2.35","0.34","0.09","-0.11","1.06","-0.34","-0.53","-0.09"
"入職率","P医療，福祉","３０人以上","2006.0","1.51","1.36","1.26","1.56","5.91","1.35","1.55","1.01","0.96","0.79","0.73","1.01","0.58"
"入職率","P医療，福祉","３０人以上","2007.0","1.74","1.17","2.17","1.24","6.19","2.28","1.26","1.2","0.88","1.53","1.16","0.66","1.13"
"入職率","P医療，福祉","３０人以上","2008.0","1.36","0.71","0.68","0.91","4.63","1.23","0.93","1.13","0.84","1.05","2.19","0.99","0.98"
"入職率","P医療，福祉","３０人以上","2009.0","1.75","0.39","0.52","1.65","7.14","0.93","1.6","1.4","1.22","1.35","2.25","2.0","0.57"
"入職率","P医療，福祉","３０人以上","2010.0","1.91","1.63","0.9","1.0","8.33","2.34","0.56","1.82","0.92","1.36","1.08","1.25","1.7"
"入職率","P医療，福祉","３０人以上","2011.0","1.52","0.36","1.18","1.06","6.33","1.73","1.57","1.55","0.87","0.96","1.02","0.84","0.75"
"入職率","P医療，福祉","３０人以上","2012.0","1.81","0.66","0.88","1.22","5.9","1.23","1.43","1.96","1.09","2.18","1.83","1.86","1.42"
"入職率（前年差）","P医療，福祉","３０人以上","2007.0","0.23","-0.19","0.91","-0.32","0.28","0.93","-0.29","0.19","-0.08","0.74","0.43","-0.35","0.55"
"入職率（前年差）","P医療，福祉","３０人以上","2008.0","-0.38","-0.46","-1.49","-0.33","-1.56","-1.05","-0.33","-0.07","-0.04","-0.48","1.03","0.33","-0.15"
"入職率（前年差）","P医療，福祉","３０人以上","2009.0","0.39","-0.32","-0.16","0.74","2.51","-0.3","0.67","0.27","0.38","0.3","0.06","1.01","-0.41"
"入職率（前年差）","P医療，福祉","３０人以上","2010.0","0.16","1.24","0.38","-0.65","1.19","1.41","-1.04","0.42","-0.3","0.01","-1.17","-0.75","1.13"
"入職率（前年差）","P医療，福祉","３０人以上","2011.0","-0.39","-1.27","0.28","0.06","-2.0","-0.61","1.01","-0.27","-0.05","-0.4","-0.06","-0.41","-0.95"
